Date,Price,Volume
2019-07-06,3.811,33
2019-07-07,3.917,24
2019-07-08,3.983,23
2019-07-09,4.039,18
2019-07-10,3.983,13
2019-07-11,3.694,17
2019-07-12,3.766,25
2019-07-13,3.839,32
2019-07-14,3.906,32
2019-07-15,3.883,19
2019-07-16,3.909,21
2019-07-17,3.897,7
2019-07-18,3.674,20
2019-07-19,3.985,46
2019-07-20,3.898,17
2019-07-21,3.926,26
2019-07-22,3.838,23
2019-07-23,3.869,21
2019-07-24,3.837,34
2019-07-25,3.891,24
2019-07-26,3.936,34
2019-07-27,3.909,19
2019-07-28,3.922,27
2019-07-29,3.898,201
2019-07-30,4.087,24
2019-07-31,4.249,34
2019-08-01,4.203,35
2019-08-02,4.378,66
2019-08-03,4.98,102
2019-08-04,5.432,25
2019-08-05,5.473,30
2019-08-06,5.455,40
2019-08-07,5.481,36
2019-08-08,5.43,13
2019-08-09,5.198,46
2019-08-10,5.155,34
2019-08-11,5.194,29
2019-08-12,5.125,47
2019-08-13,5.308,35
2019-08-14,4.609,22
2019-08-15,4.543,38
2019-08-16,4.032,28
2019-08-17,4.283,14
2019-08-18,4.224,20
2019-08-19,4.191,32
2019-08-20,4.14,28
2019-08-21,4.195,27
2019-08-22,4.033,22
2019-08-23,4.04,25
2019-08-24,4.304,59
2019-08-25,4.145,9
2019-08-26,4.44,6
2019-08-27,4.477,16
2019-08-28,4.187,11
2019-08-29,4.097,12
2019-08-30,4.369,11
2019-08-31,4.213,14
2019-09-01,4.401,15
2019-09-02,4.25,10
2019-09-03,4.182,13
2019-09-04,4.135,14
2019-09-05,4.257,47
2019-09-06,4.592,21
2019-09-07,4.56,14
2019-09-08,4.194,39
2019-09-09,4.076,16
2019-09-10,4.028,21
2019-09-11,4.368,53
2019-09-12,4.166,7
2019-09-13,4.029,20
2019-09-14,4.201,4
2019-09-15,4.125,21
2019-09-16,4.414,4
2019-09-17,4.155,7
2019-09-18,4.129,11
2019-09-19,4.012,22
2019-09-20,4.11,12
2019-09-21,4.003,11
2019-09-22,4.032,15
2019-09-23,4.15,12
2019-09-24,4.072,9
2019-09-25,3.909,16
2019-09-26,3.894,4
2019-09-27,4.012,10
2019-09-28,4.359,62
2019-09-29,4.897,28
2019-09-30,5.981,47
2019-10-01,4.915,12
2019-10-02,4.423,16
2019-10-03,4.918,27
2019-10-04,5.069,27
2019-10-05,4.62,14
2019-10-06,4.49,7
2019-10-07,4.557,6
2019-10-08,4.595,8
2019-10-09,4.551,13
2019-10-10,4.67,16
2019-10-11,4.93,18
2019-10-12,5.23,16
2019-10-13,5.087,8
2019-10-14,5.267,17
2019-10-15,4.855,3
2019-10-16,4.86,19
2019-10-17,4.762,7
2019-10-18,4.543,28
2019-10-19,4.728,27
2019-10-20,4.751,19
2019-10-21,4.389,15
2019-10-22,4.082,22
2019-10-23,4.39,22
2019-10-24,4.049,8
2019-10-25,3.946,17
2019-10-26,3.826,25
2019-10-27,4.145,7
2019-10-28,4.141,12
2019-10-29,4.12,12
2019-10-30,3.832,11
2019-10-31,4.101,13
2019-11-01,4.258,23
2019-11-02,4.288,21
2019-11-03,4.147,17
2019-11-04,4.371,26
2019-11-05,4.382,12
2019-11-06,4.294,9
2019-11-07,4.398,18
2019-11-08,4.114,13
2019-11-09,4.434,11
2019-11-10,4.468,5
2019-11-11,4.324,13
2019-11-12,4.302,24
2019-11-13,4.208,7
2019-11-14,4.347,46
2019-11-15,4.289,15
2019-11-16,4.297,7
2019-11-17,4.192,9
2019-11-18,4.194,10
2019-11-19,3.851,36
2019-11-20,3.067,17
2019-11-21,3.015,10
2019-11-22,3.006,26
